===============================
Ucitane tocke iz tocke2.in
===============================
0.00 0.20 -0.13
0.07 0.13 -0.27
0.13 -0.33 -0.33
0.20 0.07 -0.33
0.33 0.00 0.27
0.40 0.00 -0.33
0.33 0.33 -0.33
1.00 0.33 0.33
-1.00 0.00 -0.33
-1.00 0.00 -0.33
0.000-> 0.000 0.200 -0.133
0.010-> 0.006 0.193 -0.145
0.020-> 0.012 0.183 -0.156
0.030-> 0.018 0.172 -0.167
0.040-> 0.024 0.159 -0.177
0.050-> 0.030 0.145 -0.187
0.060-> 0.036 0.131 -0.196
0.070-> 0.042 0.117 -0.204
0.080-> 0.048 0.103 -0.212
0.090-> 0.054 0.088 -0.219
0.100-> 0.061 0.075 -0.226
0.110-> 0.067 0.062 -0.231
0.120-> 0.073 0.049 -0.236
0.130-> 0.079 0.037 -0.240
0.140-> 0.086 0.026 -0.243
0.150-> 0.092 0.016 -0.245
0.160-> 0.099 0.007 -0.247
0.170-> 0.105 -0.001 -0.248
0.180-> 0.112 -0.009 -0.248
0.190-> 0.119 -0.015 -0.248
0.200-> 0.125 -0.021 -0.247
0.210-> 0.132 -0.025 -0.245
0.220-> 0.139 -0.029 -0.242
0.230-> 0.146 -0.032 -0.240
0.240-> 0.153 -0.035 -0.236
0.250-> 0.160 -0.036 -0.232
0.260-> 0.167 -0.037 -0.228
0.270-> 0.175 -0.037 -0.224
0.280-> 0.182 -0.037 -0.219
0.290-> 0.189 -0.036 -0.214
0.300-> 0.196 -0.034 -0.209
0.310-> 0.204 -0.032 -0.204
0.320-> 0.211 -0.029 -0.199
0.330-> 0.218 -0.026 -0.194
0.340-> 0.225 -0.023 -0.189
0.350-> 0.233 -0.019 -0.184
0.360-> 0.240 -0.015 -0.180
0.370-> 0.247 -0.010 -0.175
0.380-> 0.254 -0.006 -0.171
0.390-> 0.261 -0.000 -0.167
0.400-> 0.268 0.005 -0.163
0.410-> 0.275 0.010 -0.159
0.420-> 0.282 0.016 -0.156
0.430-> 0.289 0.022 -0.152
0.440-> 0.295 0.028 -0.150
0.450-> 0.302 0.035 -0.147
0.460-> 0.308 0.041 -0.145
0.470-> 0.313 0.048 -0.142
0.480-> 0.319 0.055 -0.141
0.490-> 0.324 0.061 -0.139
0.500-> 0.329 0.068 -0.137
0.510-> 0.334 0.075 -0.136
0.520-> 0.338 0.082 -0.134
0.530-> 0.342 0.089 -0.133
0.540-> 0.345 0.096 -0.132
0.550-> 0.347 0.103 -0.131
0.560-> 0.349 0.110 -0.130
0.570-> 0.350 0.117 -0.129
0.580-> 0.350 0.123 -0.128
0.590-> 0.350 0.130 -0.126
0.600-> 0.348 0.136 -0.125
0.610-> 0.346 0.142 -0.124
0.620-> 0.342 0.147 -0.123
0.630-> 0.337 0.153 -0.121
0.640-> 0.330 0.158 -0.120
0.650-> 0.323 0.162 -0.118
0.660-> 0.313 0.167 -0.117
0.670-> 0.302 0.170 -0.115
0.680-> 0.289 0.173 -0.114
0.690-> 0.274 0.176 -0.112
0.700-> 0.258 0.178 -0.111
0.710-> 0.239 0.179 -0.110
0.720-> 0.217 0.180 -0.110
0.730-> 0.194 0.180 -0.109
0.740-> 0.168 0.180 -0.109
0.750-> 0.139 0.178 -0.110
0.760-> 0.108 0.176 -0.111
0.770-> 0.075 0.173 -0.112
0.780-> 0.038 0.169 -0.115
0.790-> -0.001 0.165 -0.118
0.800-> -0.043 0.159 -0.122
0.810-> -0.088 0.153 -0.127
0.820-> -0.135 0.147 -0.133
0.830-> -0.185 0.139 -0.140
0.840-> -0.237 0.131 -0.148
0.850-> -0.291 0.122 -0.157
0.860-> -0.347 0.113 -0.167
0.870-> -0.405 0.103 -0.179
0.880-> -0.464 0.093 -0.191
0.890-> -0.524 0.083 -0.204
0.900-> -0.585 0.072 -0.218
0.910-> -0.644 0.062 -0.233
0.920-> -0.703 0.052 -0.247
0.930-> -0.760 0.042 -0.262
0.940-> -0.813 0.032 -0.277
0.950-> -0.863 0.024 -0.291
0.960-> -0.907 0.016 -0.304
0.970-> -0.945 0.009 -0.316
0.980-> -0.974 0.004 -0.325
0.990-> -0.993 0.001 -0.331
